Account,Marketing Strategist,Total Package Hours,Hours for Strategist,Blog,SMM,SEO,PPC,ORM,Ads_Customer_ID,GA4_ID,SC URL: ,Website,ga4_property_id,basecamp_project_id,harvest_project_id,harvest_client_id,tier
Valley Pet Surgery +,Tom,2,2,0,N,Premium Plus,Foundation,N,1198003572,,,valleyspayneuter.com,#N/A,,,,
Flowers Mill Veterinary Hospital,Alex,6,4.5,1,N,Premium Plus,Foundation,Foundation,1660044474,,https://www.flowersmillveterinaryhospital.com/,flowersmillveterinaryhospital.com,373658488,12187120,31967394,11864588,Growth
Kestrel Veterinary Hospital,Low Contact,1,1,0,N,N,Foundation,N,3031579997,,https://www.kestrelvet.com/,kestrelvet.com,460675671,19663798,46049138,15253677,Low Contact
Adobe Animal Hospital & Laser Surgery Center,Melissa/Stephanie,7,5,1,Premium,Premium Plus,Foundation,Foundation,3106632493,,https://www.adobeanimalhosp.com/,adobeanimalhosp.com,414325327,19215631,39378927,13936246,Growth
Great Oaks Veterinary Hospital,Alex,5,3.5,1,N,Premium Plus,Foundation,N,4287727278,,https://www.irbyoverton.com/,greatoaksveterinaryhospital.com,513724263,20044707,,,Growth
Coats Veterinary Hospital,Low Contact,2,2,0,N,Foundation,Foundation,N,4428145831,,https://www.coatsvet.com/,coatsvet.com,514059816,20100897,46469141,17038434,Low Contact
Curem Veterinary Care,Melissa/Stephanie,7,5.5,1,Premium,Premium Plus,Foundation,Foundation,4595143021,,https://www.curemvet.com/,curemvet.com,318923733,18700978,34795951,12231779,Growth
Pets Now Urgent Care,Low Contact,1,1,0,N,N,Foundation,N,5532202035,,https://www.petsnowurgentcare.com/,petsnowurgentcare.com,499825435,19862942,46049085,15895065,Low Contact
Wild Hearts Veterinary Clinic,Tom,1,1,0,N,N,Foundation,N,6246409115,,https://www.wildheartsvets.com/,wildheartsvets.com,#N/A,,,,
Caring Paws Animal Hospital,Alex,5,3.5,1,N,Premium Plus,Foundation,N,7938106437,,https://www.caringpawsanimalhospital.com/,caringpawsanimalhospital.com,298674965,17920181,31966919,11864540,Growth
Happy Tails Veterinary Care,Daniel,1,1,0,N,N,Foundation,N,9145781203,,https://www.happytailsvetcare.com/,happytailsvetcare.com,531461973,20189009,47928569,17521139,Low Contact
Broadway Oaks Animal Hospital,Alex,7,5.5,1,N,Premium Plus,Foundation,N,9493873792,,https://broadwayoaksanimalhospital.com/,broadwayoaksanimalhospital.com,373672481,13483632,41529396,11864532,Growth
Overton Veterinary Hospital,Low Contact,1,1,0,N,N,Foundation,N,9377816492,,https://irbyoverton.com/,irbyoverton.com,,17342270,46547975,17066805,Low Contact
Veterinary Specialty and Emergency Center,Low Contact,1,1,0,N,N,Foundation,N,Different Acct,,https://www.vsec.vet/,vsec.vet,#N/A,,,,
Affectionately Cats Feline Veterinary Hospital and Boarding Suites,Alex,1,1,N,N,N,Foundation,N,Needs added,,https://www.affectionatelycats.com/,#N/A,#N/A,,,,
"Harmony Animal Hospital (Naples, FL)",Melissa/Stephanie,5,5,0,Premium,N,Foundation,Premium,Check on services,,http://www.harmonypetvet.com/,harmonypetvet.com,376289857,20170919,47495530,17448584,Growth
Dupont Veterinary Clinic,Stephanie,5,3.5,1,N,Premium Plus,Foundation,Premium,Check on services,,https://www.dupontvet.com/,dupontvet.com,386247191,11320897,44269651,11864569,Growth
